# Squelettes de protocole — cyclage de durabilité des coutures, et
# fit / confort / conformité dimensionnelle.
#
# CE FICHIER NE CONTIENT AUCUN CHIFFRE DE LASCLAY. C'est la STRUCTURE d'un
# protocole : quoi tester, sur quelle zone, avec quel critère de réussite. Les
# nombres — combien de cycles, quelle charge, quelle tolérance — ne sont écrits
# nulle part dans les sources du dépôt, et les inventer les ferait passer pour
# une norme maison. Ils sont donc écrits « À FIXER », en majuscules, pour qu'on
# ne puisse pas les confondre avec une valeur mesurée.
#
# LA CONFORMITÉ DIMENSIONNELLE N'EST PAS ICI. Un tableau de mensurations dépend
# du patron de chaque produit : il se saisit dans l'app, onglet Qualité d'un
# produit, « Ajouter un tableau de mensurations » — une ligne par taille,
# recopiable d'un chiffrier. Sur la checklist d'un lot, chaque taille n'est
# exigée que si le lot en contient, et son échantillon se calcule sur les
# pièces de CETTE taille.
#
# produit « * » = protocole général, appliqué à tous les produits.
#
# Importer : node mrp/import_qualite.js --squelettes --ecrire
produit	volet	titre	detail	consequence	valeur	tolerance	unite	ech_type	ech_valeur	frequence	source
*	esthetique	Fils qui dépassent — les retirer et les couper	Passer la pièce entière, endroit et envers, et couper tous les fils qui dépassent : fins de couture, changements de bobine, arrêts de surjet. Tirer doucement sur chacun avant de couper — un fil qui vient est un fil qui n'était pas arrêté, et c'est une couture à reprendre, pas un fil à couper.	La pièce paraît bâclée au déballage, et un fil tiré ouvre une couture				tout			direction — protocole général « esthétique et quotidien »
*	esthetique	Double frottement — 1. à sec	Frotter 3 minutes la surface la plus exposée à l'abrasion : paume d'une mitaine, fond d'un sac, assise d'un coussin, coude d'un manteau. Toujours la même zone, toujours la même pression. Photographier la zone AVANT : sans point de comparaison, le test ne dit rien.	Le boulochage et l'usure de surface ne se voient qu'à la deuxième saison, chez le client	3		minutes	lot		PRESSION ET SUPPORT DE FROTTEMENT À FIXER	direction — protocole général « esthétique et quotidien »
*	esthetique	Lavage à l’eau froide, séchage au soleil	Laver LA MÊME pièce à l'eau froide, puis la sécher au soleil, à plat. C'est le traitement que le client lui fera, et le seul qui révèle d'un coup le rétrécissement, le dégorgement de teinture et la déformation au séchage.	Un rétrécissement ou un dégorgement se découvre chez le client, une saison trop tard				lot			direction — protocole général « esthétique et quotidien »
*	esthetique	Double frottement — 2. après gel et humidité	Mouiller légèrement LA MÊME pièce, la mettre au congélateur 2 heures, puis refaire exactement le frottement de 3 minutes, sur la même zone. Le froid raidit les fibres et l'eau gelée les rend cassantes : ce qui tenait à sec peut céder ici. C'est l'hiver d'ici en accéléré.	Une pièce qui tient au sec et au chaud lâche au premier janvier humide	2		h	lot		TEMPÉRATURE DU CONGÉLATEUR À FIXER	direction — protocole général « esthétique et quotidien »
*	esthetique	Après la séquence : ce qu’on compare	Laisser sécher à plat, puis comparer à la photo prise avant : boulochage, fibres arrachées, perte de main, coutures ouvertes, isolant migré, tissu qui ne reprend pas sa forme. Une raideur qui reste après séchage complet est un échec, même si rien n'est déchiré.	Sans comparaison avant/après, les trois essais précédents ne prouvent rien				lot			direction — protocole général « esthétique et quotidien »
*	esthetique	Conformité de couleur entre deux pièces du même lot	Poser deux pièces finies du même coloris côte à côte, à la lumière du jour, de face puis à plat. Deux rouleaux d'un même coloris ne teignent pas pareil, et l'écart ne se voit jamais sur une pièce seule.	Le client qui commande deux pièces assorties en reçoit deux teintes — retour presque certain				fixe	2		proposé par Claude — à garder ou à retirer
*	esthetique	Propreté — craie, huile de machine, traces de doigts	Regarder la pièce en lumière rasante, endroit et envers : traits de craie non partis, points d'huile autour des coutures, marques de doigts sur les surfaces claires. Ce qui se voit à l'atelier se voit encore mieux dans une boîte ouverte à la maison.	Une tache d'huile sur une pièce neuve se lit comme un défaut de fabrication				tout			proposé par Claude — à garder ou à retirer
*	esthetique	Étiquette — sens, position, lisibilité	Vérifier que l'étiquette est à l'endroit, posée là où la fiche le dit, prise dans la couture sur toute sa largeur, et lisible. Une étiquette cousue à l'envers ne se répare pas sans découdre.	Défaut permanent, visible à chaque usage, sur une pièce autrement conforme				tout			proposé par Claude — à garder ou à retirer
*	esthetique	Régularité de la surpiqûre	Suivre la surpiqûre du regard sur toute sa longueur : écart au bord constant, ondulations régulières, pas de reprise visible ni de point doublé. C'est la première ligne que l'œil suit sur une pièce matelassée.	Une surpiqûre qui serpente est le défaut le plus visible de notre ligne				ratio	20		proposé par Claude — à garder ou à retirer
*	esthetique	Odeur à l’ouverture du sachet	Ouvrir un sachet scellé depuis au moins 24 h et sentir la pièce. Odeur d'apprêt, de colle, de moisi ou de plastique : aucune ne doit rester. Le sachet concentre ce qui s'évaporerait à l'air libre.	Une odeur au déballage gâche la première impression et fait douter de la matière				fixe	5		proposé par Claude — à garder ou à retirer
