campaign_id,campaign_name,send_time,message_id,subject,preview_text,from_email,audiences_included,audiences_excluded,template_id
01KVE013N0ANFS640GVZSW59XX,"Suivi prévente 2026",2026-06-20T11:00:00+00:00,01KVE013R0K3PKN0K4HWQTFEZB,"🚨 Prévente Printanière 2026 - énorme succès 👀","Encore temps de commander",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|TPaYpu|TmJKc6|UG8xUu|WwacXM|XVe4iK|Y3Usnk|Yqksh2,TakUbg
01KVDD0X8TDDNCDG63ZCVQDTZS,"Suivi prévente 2026 commandes",2026-06-18T18:29:37.578399+00:00,01KVDD0XBTQ11G6QVB39M3S0J2,"🚨 Suivi de ta précommande 👀","Un très gros merci",hey@lasclay.com,XVe4iK,,WCGsS6
01KSZ2CG0DQ86XH07GH0XVBH43,"Réchauffement prévente 2026 remerciement",2026-05-31T13:24:12.208826+00:00,01KSZ2CG3MY8YR45Y24CKCYHCA,"🚨 Il reste moins de 2 jours à la prévente 👀","Une énorme 1e journée, 1 gros merci",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|TPaYpu|TmJKc6|UXg6uz|Ue5tf6|WwacXM|Y3Usnk|Yqksh2,X8kGZM
01KSVFGFHWHMS8FPR1BRH1GM73,"Réchauffement prévente 2026 #4",2026-05-30T11:00:00+00:00,01KSVFGFNQSA6XQZ4V027W5Z11,"🚨 Prévente dans 2 heures 👀","Informations importantes!",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|TPaYpu|TmJKc6|UG8xUu|UXg6uz|Ue5tf6|WwacXM|Y3Usnk|Yqksh2,SsdVbS
01KSQ4N8RP8S7WVP8PKS0TBZ3F,"Réchauffement prévente 2026 #3 - video cache-cou",2026-05-28T12:15:00+00:00,01KSQ4N8WYG7HTNYGD56V7ETD0,"🚨 Dévoilement des produits 👀","Et un petit bonus",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|TPaYpu|TmJKc6|UG8xUu|UXg6uz|Ue5tf6|WwacXM|Y3Usnk|Yqksh2,XKEfyZ
01KSCYFRHZFXTA6Z4SYBNCE8D1,"Réchauffement prévente 2026 #2 - video doc",2026-05-24T12:45:00+00:00,01KSCYFRNZFM4PY2D6CZ2690BP,"🚨 Annonce majeure 👀","Explication complète en vidéo",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|TPaYpu|TmJKc6|UG8xUu|UXg6uz|Ue5tf6|WwacXM|Y3Usnk|Yqksh2,UR5EFg
01KRX1MBST6PSVYW6RME23NS76,"Réchauffement prévente 2026 #1",2026-05-18T11:00:00+00:00,01KRX1MBXC3GVPVVZA15MJNEJ7,"Prévente printanière 2026: nouveaux produits d'asclépiade! 😮","Dès le 30 mai 9:00 am",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|TPaYpu|TmJKc6|UG8xUu|UXg6uz|Ue5tf6|WwacXM|Y3Usnk|Yqksh2,V8Nzud
01KQM78PHDKB6N003P21PC2H0W,"Précommande été 2026 (EN)",2026-05-02T11:55:54.698105+00:00,01KQM78PNAT60EGBKC118GHNKV,"Launch: Milkweed products summer sale","Discounts + announcements",hey@lasclay.com,QXRzba|UXg6uz,RQHvtY|SScQpb|SqQNYW|Stbtct|T5ujAx|T8qXdj|TGKgFC|TUjhzc|TmJKc6|UG8xUu|Ue5tf6|V2Y8Jh|VEMFYt|W9J67h|WU7pfD|WwacXM|XLWkcs|Xitudp|Y3Usnk,XXAqt2
01KQM4YQKWG0XFXB3ZWAG6DQW0,"Précommande été 2026",2026-05-02T11:30:00+00:00,01KQM4YQPY56RQCW2PXX624W1G,"Lancement de la Vente d'été 2026","Rabais + annonces",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|SScQpb|SqQNYW|Stbtct|T5ujAx|TUjhzc|TmJKc6|UG8xUu|UXg6uz|Ue5tf6|V2Y8Jh|W9J67h|WU7pfD|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,VBGuF6
01KPG8655CZG3R3FWQ7FQTSPTC,"Cosmétiques prévente (clone)",2026-04-18T13:50:30.322884+00:00,01KPG8657TM0PGMBPD1DD9TW5Z,"Nouveau produit surprenant","+ annonces à venir",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|SqQNYW|T5ujAx|TPaYpu|TmJKc6|UG8xUu|V2Y8Jh|WX9kes|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,S48k9D
01KN7K2SNSMX7XTX8D5R7TJAEV,"NATIONAL PLANTING CAMPAIGN 2026",2026-04-04T12:30:00+00:00,01KN7K2SS64AQAY4M5QCWKG9BZ,"Plant milkweed - Huge discount on seeds! 🦋","",hey@lasclay.com,QXRzba|TPaYpu|TmJKc6|UXg6uz|WX9kes|WwacXM|Y3Usnk|Yqksh2,RQHvtY|SqQNYW|T5ujAx|UPbSkd|V2Y8Jh|XLWkcs,Y3iRkt
01KN7DZKMAFVM68X5XQ2R7N8CM,"(region QC) Campagne nationale plantation 2026 (clone)",2026-04-04T07:30:00+00:00,01KN7DZKR2BFT1FV40S0Q05DH2,"Plantez de l'asclépiade - gros rabais! 🦋","+ nouveaux produits à venir",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt|YkkDBM,QXRzba|RQHvtY|SqQNYW|T5ujAx|TPaYpu|TmJKc6|UPbSkd|UXg6uz|V2Y8Jh|WX9kes|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,VZLXmi
01KKM8FZ5J2WRS2FXS75J0X7N4,"Milkweed planting Campaign (2026) (US)",2026-03-14T13:00:00+00:00,01KKM8FZ7KSJVGPBS5V9AEAE5E,"Milkweed planting campaign to save monarchs 🦋","New ready-to-plant cold-treated seeds!",hey@lasclay.com,TUjhzc|TmJKc6|WX9kes|WwacXM|Y3Usnk|Yqksh2,QXRzba|T8qXdj|TGKgFC|UXg6uz|YkkDBM,R4ivuh
01KKM5DMFCP511X554CE7Y0FFC,"Milkweed planting Campaign (2026)",2026-03-14T12:00:00+00:00,01KKM5DMHDYSJJZG11124CT6M7,"Milkweed planting campaign to save monarchs 🦋","New ready-to-plant cold-treated seeds!",hey@lasclay.com,QXRzba|UXg6uz,,UkKfzh
01KKHTVHQJMNXPHGNNRAJYK3KK,"(region QC) Campagne nationale plantation 2026",2026-03-14T11:30:00+00:00,01KKHTVHSK0TKTVM7787ZF2RGN,"Campagne nationale de plantation d'asclépiade ⚜️🦋","Nouveauté: devenez micro-cultivateur et soyez payé!",hey@lasclay.com,SScQpb|Stbtct|T8qXdj|TGKgFC|Ue5tf6|VEMFYt|W9J67h|WU7pfD|YkkDBM,QXRzba|RQHvtY|SqQNYW|T5ujAx|TPaYpu|TmJKc6|UXg6uz|V2Y8Jh|WX9kes|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,TCUN4Q
01KJTF431HHNDD4CXEJETQMZK7,"erratum",2026-03-03T18:35:26.832141+00:00,01KJTF434HPWW6GR2VXTJK7TBR,"Erratum (vente de fin de saison Lasclay)","Les codes ne marchaient pas",hey@lasclay.com,T8qXdj|TGKgFC|VEMFYt,QXRzba|RQHvtY|SqQNYW|T5ujAx|TmJKc6|UXg6uz|Ue5tf6|Uk5G2T|UsbPiy|V2Y8Jh|WwacXM|XLWkcs|Xitudp|Y3Usnk|Yqksh2,XgsRft
