courriel,nom_commerce,zone,province
albertasownmarket@gmail.com,"Artisan Goods","Banff et Canmore",AB
hello@greenbriarmarket.ca,"Greenbriar Market + Refillery","Calgary",AB
info@carbonboutique.com,"Carbon Boutique","Edmonton",AB
info@jaderefillery.ca,"Jade Refillery","Jasper et Hinton",AB
info@awesomeadventures.ca,"Awesome Adventures Ltd","Lethbridge",AB
info@artsoullifecreativestudio.ca,"Art Soul Life Creative Studio","Lloydminster et Vermilion",AB
hello@rootsrefillery.com,"Roots Refillery","Medicine Hat",AB
info@peaceriver.ca,"Peace River Museum, Archives and Mackenzie Centre","Peace River et Nord",AB
clayburn@shaw.ca,"Clayburn Village Store & Gift Shop","Abbotsford et Mission",BC
contact@therefillstop.com,"The Refill Stop","Burnaby et New Westminster",BC
info@mysticearthcreations.com,"Mystic Earth Creations","Campbell River",BC
fullfillwl@outlook.com,"NEXT GENeral Mercantile & Refillery","Cariboo – Williams Lake et Quesnel",BC
plentifill@gmail.com,"plentiFILL Refillery","Cowichan Valley",BC
info@fullfillmarket.com,"Fullfill Zero Waste Market","Cranbrook et Kootenay Est",BC
info@crookedcrown.ca,"Crooked Crown Boutique","Kamloops",BC
shop@onbeachboutique.ca,"On Beach Boutique & Gifts","Kelowna",BC
artzistuff@gmail.com,"Artzi Stuff","Nanaimo",BC
info@crookedhornfarm.ca,"Crooked Horn Farm","Nelson et Kootenay Ouest",BC
gifts@prospectpoint.com,"The Stanley Park Trading Post","North Shore",BC
info@shadesofgreeneco.ca,"Shades of Green Eco Store & Refillery","Parksville et Qualicum",BC
replenishrefillery@gmail.com,"Replenish Refillery & Zero Waste Store","Penticton et Summerland",BC
insight@salishseamarket.com,"Salish Sea Market","Port Alberni",BC
booksandco@shaw.ca,"Books & Company","Prince George",BC
icehouse@citywest.ca,"Ice House Gallery","Prince Rupert et Haida Gwaii",BC
info@theannexrevelstoke.com,"The Annex","Revelstoke et Golden",BC
info@koras-corner.com,"Kora's Corner Country Store","Richmond et Delta",BC
refill@wefillmobilemarketandrefillery.ca,"WeFill Mobile Market & Refillery","Squamish",BC
info@ecofreako.ca,"Eco-Freako","Sunshine Coast",BC
info@bipoclocal.ca,"BIPOC & Local Maker Marketplace","Surrey et Langley",BC
info@nwrefillery.com,"Northwest Refillery Inc.","Terrace et Kitimat",BC
hello@shopmerge.ca,"Merge","Tofino et Ucluelet",BC
store@circlecraft.net,"Circle Craft","Vancouver – centre et est",BC
orders@ashrefillery.ca,"ASH Refillery and Co.","Victoria et Saanich",BC
marketing@slcc.ca,"Gallery and Gift Shop","Whistler et Pemberton",BC
websales@galianoislandsoapworks.com,"Galiano Island Soap Works","Îles Gulf et Salt Spring",BC
soap@renuhygienics.com,"The Refillery by RENU","Brandon",MB
info@collectaco.ca,"Collecta Co.","Steinbach et Sud-Est",MB
distantcaravans@shaw.ca,"Distant Caravans","Winnipeg",MB
info@groupepronature.ca,"Pro Nature","Bathurst et Acadie-Bathurst",NB
andrea@artisandistrict.ca,"The Artisan District","Fredericton",NB
greatapples@stirlingfruitfarms.ca,"Stirling's Farm Market","Moncton et Sud-Est",NB
katelyn@shopjuniper.ca,"JUNIPER","Saint John",NB
studio@nortonscove.com,"Norton's Cove Studio","Clarenville et Bonavista",NL
candsuniquegifts@hotmail.com,"C & S Unique Gifts & Nfld Souvenirs","Grand Falls-Windsor",NL
info@thebeeskneesstore.com,"The Bee's Knees","St. John's",NL
info@chesterartcentre.ca,"Chester Art Center","Bridgewater et Rive-Sud",NS
info@portcitygrocery.com,"Port City Grocery","Cap-Breton – Sydney",NS
hello@madeinthemaritimes.com,"Made in the Maritimes Artisan Boutique","Halifax et Dartmouth",NS
info@northernsungallery.com,"Northern Sun Gallery & Gifts","New Glasgow et Pictou",NS
ffm1744@gmail.com,"Foote's Farm Market","Vallée d'Annapolis",NS
airwear@buffaloairways.com,"Buffalo Airwear","Yellowknife",NT
barrie@bghl.ca,"Bradford Greenhouses","Barrie et Simcoe",ON
jenny@knuckledownfarm.ca,"Knuckle Down Farm","Belleville et Quinte",ON
weecleangreen@outlook.com,"Wee Clean Green","Brampton et Caledon",ON
info@onesixtyone.ca,"One Sixty One","Brantford",ON
refillerymarket@gmail.com,"Refillery Market","Burlington",ON
derek.earthworksgarden@gmail.com,"Earthworks Garden Centre","Chatham-Kent",ON
pinerefillery@gmail.com,"Pine Eco + Refillery Boutique","Collingwood et Blue Mountains",ON
360ecomarket@gmail.com,"360 Eco Market","Durham – Oshawa et Whitby",ON
gaby@crichethandmadedesigns.ca,"Crichet Handmade Designs","Goderich et Huron",ON
theoutsidestore@yahoo.ca,"The Outside Store","Grand Sudbury",ON
info@unitedtrophy.ca,"United Trophy","Hamilton",ON
unwrappedkawartha@gmail.com,"Unwrapped Kawartha","Kawartha Lakes",ON
lakeofthewoodssoap@gmail.com,"Lake of the Woods Sunrise Soap Co.","Kenora et Dryden",ON
info@minotaurgifts.com,"Minotaur","Kingston",ON
hello@harpandfin.ca,"Harp and Fin","Kitchener-Waterloo",ON
curiositiesgiftshop1629@gmail.com,"Curiosities Gift Shop","London",ON
support@crafteddecor.ca,"Crafted Decor","Mississauga",ON
bracebridge@drcomics.ca,"Dr. Comics","Muskoka",ON
ilovelavender@neobniagara.com,"NEOB Lavender Boutique","Niagara",ON
hermas@eagle.ca,"Herma’s","Northumberland et Cobourg",ON
info@promotionalsource.ca,"Promotional Source","Oakville et Milton",ON
info@thesustainableshop.ca,"The Sustainable Shop & Refillery","Orangeville et Dufferin",ON
swift@swiftcanoe.com,"Swift Canoe - Georgian Bay","Orillia et Midland",ON
info@madeincanadagifts.ca,"Made In Canada Gifts","Ottawa",ON
info@themilkmaidcheese.ca,"The Milk Maid","Owen Sound et Bruce",ON
gbrefillery@gmail.com,"Georgian Bay Refillery","Parry Sound",ON
example@mysite.com,"Cedar Crest Acres Inc","Perth et Smiths Falls",ON
geoff@thisandthatredux.com,"This & That","Peterborough",ON
info@algonquinbound.com,"Algonquin Bound Outfitters - Barron Canyon","Renfrew et Vallée de l'Outaouais",ON
info@glrc.ca,"Great Lakes Refill Co.","Sarnia-Lambton",ON
support@hearterra.ca,"Hearterra","Sault Ste. Marie",ON
info@bradshawscanada.com,"Bradshaws","Stratford",ON
therefillco@outlook.com,"The Refill Co.","Thunder Bay",ON
