Ligne du chiffrier,Priorité,Organisation,Où chercher (colonne M),Statut actuel,Adresse trouvée
6,A,Géo Plein Air,geopleinair.com/contactez-nous/ | éditeur : Pierre Hamel | 514 521-8356 p.504,À trouver (page de contact),
7,A,"La Presse (Affaires, févr. 2026)",Passer par la ou le signataire de l'article,À trouver (contacter la journaliste ou le journaliste signataire),
8,A,Le Devoir,Passer par la ou le signataire de l'article,À trouver (contacter la ou le signataire),
9,A,Jardinier paresseux,jardinierparesseux.com/a-propos/ | facebook.com/JardinierParesseux,"À trouver (Mathieu Hodgson, via le site)",
10,A,Le Droit (déc. 2025),"Groupe Coops de l'information (Le Droit, Le Soleil, Le Nouvelliste, La Tribune)",À trouver (réseau Coops de l'information),
14,A,Radio-Canada (récit numérique),,À trouver (salle des nouvelles),
15,A,Cégep Limoilou,418 647-6600 p.6863 | cegeplimoilou.ca/navigation/salle-des-medias/,"À trouver (Josyka Lévesque, communications)",
17,A,Coopérative Monark,coopmonark.com,À trouver (page contact du site),
18,A,"La Presse (plein air, nov. 2021)",,À trouver (contacter la ou le signataire),
20,A,Espace pour la vie / Mission monarque,mission-monarch.org | espacepourlavie.ca,À trouver (Insectarium / Espace pour la vie),
21,A,Le Soleil (avril 2024),Même réseau que Le Droit,À trouver (réseau Coops de l'information),
22,A,Monquartier (Québec),monquartier.quebec/nous-joindre/,À trouver (page nous joindre),
23,A,Fibershed Québec (UQAM),fibershed.uqam.ca,À trouver (page contact du site),
25,A,Du jardin dans ma vie,dujardindansmavie.com/a-propos/,À trouver (page contact du site),
28,B,"La Presse (cadeaux écoresponsables, déc. 2023)",,À trouver (contacter la ou le signataire),
29,B,ICI Explora,,À trouver (rédaction du blogue),
31,B,Idée Cadeau Québec,1 800 514-1259 | ideecadeauquebec.com/contact/,À trouver (formulaire de contact),
32,B,Le Nouvelliste / Le Soleil,,À trouver (réseau Coops de l'information),
36,B,Le Soleil (janv. 2023),,À trouver (réseau Coops de l'information),
37,B,GRAME,grame.org,À trouver (page contact du site),
38,B,Grenier aux nouvelles,514 747-3455 | grenier.qc.ca,À trouver (formulaire du site),
39,B,Véronique Cloutier (guide cadeaux),veroniquecloutier.com,À trouver (équipe éditoriale du site),
40,B,"Sépaq, parc des Îles-de-Boucherville",450 928-5088 (parc),À trouver (service des communications),
41,B,Xerces Society,(503) 232-6639 | xerces.org/press | xerces.org/staff,"À trouver (Deborah Seiler, presse)",
43,B,La Terre de chez nous,laterre.ca,À trouver (rédaction),
44,B,Monarch Joint Venture,monarchjointventure.org/about-us/contact-us,À trouver (formulaire de contact),
45,B,Innovation in Textiles,innovationintextiles.com,À trouver (rédaction),
46,B,Répertoire CVDM (manufacturiers),cvdm.org,À trouver (page contact du site),
47,B,TechniTextile Québec,technitextile.ca,À trouver (page contact du site),
48,B,CBC News,cbc.ca,À trouver (salle des nouvelles),
49,B,Le Panier Bleu,lepanierbleu.ca,À trouver (formulaire du site),
50,B,BAnQ,banq.qc.ca,À trouver (service des communications),
51,B,Agriculture du Coin,"514 273-4332 | 235 av. Laurier Ouest, Montréal",À trouver (page contact du site),
53,B,Ville de Saint-Philippe,ville.saintphilippe.quebec,À trouver (service des communications),
54,B,Goûtez le Québec,goutezlequebec.com,À trouver (page contact du site),
55,B,Québec Circulaire,quebeccirculaire.org,À trouver (page contact du site),
56,B,Écohabitation,ecohabitation.com,À trouver (page contact du site),
57,B,Semences Ancestrales,semencesancestrales.com,À trouver (page contact du site),
59,B,Pollinator.org,pollinator.org,À trouver (formulaire de contact),
60,B,Bee City Canada,beecitycanada.org,À trouver (formulaire de contact),
61,B,Espace-inc,espace-inc.org,À trouver (statut de l'organisme à vérifier),
62,B,En Mode Responsable,enmoderesponsable.com,À trouver (page contact du site),
63,B,"Accès savoirs, Université Laval",accessavoirs.ulaval.ca,"À trouver (Accès savoirs, Université Laval)",
64,C,Produits Artémis,produitsartemis.com,À trouver (page contact du site),
65,C,"mmode, grappe métropolitaine de la mode",mmode.ca,À trouver (page contact du site),
66,C,Espace local,espacelocal.co,À trouver (page contact du site),
67,C,North American Monarchs (namonarchs.org),namonarchs.org,À trouver (formulaire de contact),
68,C,Municipalité de Notre-Dame-du-Portage,municipalite.notre-dame-du-portage.qc.ca,À trouver (service des communications),
69,C,WTiN,wtin.com,À trouver (rédaction),
70,C,Lanauweb,lanauweb.info,À trouver (page contact du site),
71,C,L'Axe du Malt,"601 rue D'Aiguillon, Québec",À trouver (page contact du site),
72,C,Ma Communauté (bottin),macommunaute.ca,À trouver (formulaire du site),
73,C,Textile Network,textile-network.com,À trouver (rédaction),
74,C,Made to Measure Magazine,madetomeasuremag.com,À trouver (rédaction),
75,C,Marché aux trésors,,À trouver (page contact du site),
76,C,L'Hebdo du St-Maurice,lhebdodustmaurice.com,À trouver (rédaction),
