# Cotes de produits finis, et gradation entre les tailles.
#
# CE QUI EXISTAIT AVANT CE FICHIER : rien. La base portait 34 points de type
# « mesure », dont 8 chiffrés — et tous portaient sur un COMPOSANT (velcro
# 2,5 cm, fermeture 18 cm), aucun sur la pièce finie. Le seul point de cote de
# produit, « Dimensions finales selon le schéma des tailles », était VIDE : il
# renvoyait à un schéma que personne ne pouvait ouvrir.
#
# CE QU'ON N'INVENTE PAS. Une cote fausse dans une liste à cocher fait rejeter
# un lot juste. Les valeurs ici viennent toutes d'une source nommée :
#   schéma de cotes (Miro)   le dessin coté du tableau, relevé le 23/09/2026
#   étiquette du patron      le bloc HPGL auto-documenté, COUPE et FINI
#   suivi Tunisie            la table de gradation du chandail polar
# Un produit sans aucune de ces trois sources n'a PAS de ligne ici. Il en
# manque vingt-neuf sur trente-quatre, et c'est le travail qui reste.
#
# LES TOLÉRANCES SONT « À FIXER ». Aucune source n'en donne. Les écrire en
# majuscules plutôt que d'en inventer une est la règle du dépôt : on voit
# qu'il manque quelque chose au lieu de croire à une norme maison.
#
# LA GRADATION SE MESURE SANS CONNAÎTRE LA BASE. C'est ce qui la rend utile au
# contrôle : avec deux tailles consécutives en main, l'écart se vérifie au
# ruban, même si la cote absolue n'est pas documentée.
#
# Importer : node mrp/import_qualite.js --charte --ecrire
produit	volet	titre	detail	consequence	valeur	tolerance	unite	frequence	source	schema	variante	ech_type	ech_valeur
CACHE-COU-ENF-18M4A	mesure	Largeur hors tout	Relevée au schéma de cotes de la charte, premier dessin — petit enfant.	Une pièce hors cote ne se rattrape pas après montage.	22,1	À FIXER	cm		schéma de cotes (Miro)	https://lh3.googleusercontent.com/d/1JgyztlkrLozPo8wJS0hsrPjaxZQ-X8xh	18 mois-4 ans	ratio	20
CACHE-COU-ENF-18M4A	mesure	Hauteur hors tout	Relevée au schéma de cotes de la charte, premier dessin — petit enfant.	Une pièce hors cote ne se rattrape pas après montage.	19,9	À FIXER	cm		schéma de cotes (Miro)	https://lh3.googleusercontent.com/d/1JgyztlkrLozPo8wJS0hsrPjaxZQ-X8xh	18 mois-4 ans	ratio	20
CACHE-COU-ENF-5A13A	mesure	Largeur hors tout	Relevée au schéma de cotes de la charte, deuxième dessin — grand enfant.	Une pièce hors cote ne se rattrape pas après montage.	24,8	À FIXER	cm		schéma de cotes (Miro)	https://lh3.googleusercontent.com/d/1JgyztlkrLozPo8wJS0hsrPjaxZQ-X8xh	5-13 ans	ratio	20
CACHE-COU-ENF-5A13A	mesure	Hauteur hors tout	Relevée au schéma de cotes de la charte, deuxième dessin — grand enfant.	Une pièce hors cote ne se rattrape pas après montage.	22,7	À FIXER	cm		schéma de cotes (Miro)	https://lh3.googleusercontent.com/d/1JgyztlkrLozPo8wJS0hsrPjaxZQ-X8xh	5-13 ans	ratio	20
CACHE-COU	mesure	Largeur hors tout	Relevée au schéma de cotes de la charte, troisième dessin — adulte, taille unique.	Une pièce hors cote ne se rattrape pas après montage.	29,9	À FIXER	cm		schéma de cotes (Miro)	https://lh3.googleusercontent.com/d/1JgyztlkrLozPo8wJS0hsrPjaxZQ-X8xh	adulte	ratio	20
CACHE-COU	mesure	Hauteur hors tout	Relevée au schéma de cotes de la charte, troisième dessin — adulte, taille unique.	Une pièce hors cote ne se rattrape pas après montage.	27,1	À FIXER	cm		schéma de cotes (Miro)	https://lh3.googleusercontent.com/d/1JgyztlkrLozPo8wJS0hsrPjaxZQ-X8xh	adulte	ratio	20
OREILLER	mesure	Dimensions finies	Portées par l'étiquette du patron HPGL — fichier auto-documenté, unité confirmée à 4 u/mm. 26 x 20 po exactement.	Une taille d'oreiller non standard ne rentre pas dans une taie du commerce.	66,0 x 50,8	À FIXER	cm		étiquette du patron	 	Standard	ratio	20
OREILLER	mesure	Dimensions de coupe	Portées par la même étiquette : COUPE 67,9 x 52,1 CM.	Couper au fini donne un oreiller trop petit d'une valeur de couture.	67,9 x 52,1	À FIXER	cm		étiquette du patron	 	Standard	ratio	20
OREILLER	mesure	Dimensions finies	Portées par l'étiquette du patron HPGL — fichier auto-documenté, unité confirmée à 4 u/mm. 36 x 20 po exactement.	Une taille d'oreiller non standard ne rentre pas dans une taie du commerce.	91,4 x 50,8	À FIXER	cm		étiquette du patron	 	King	ratio	20
OREILLER	mesure	Dimensions de coupe	Portées par la même étiquette : COUPE 93,3 x 52,1 CM.	Couper au fini donne un oreiller trop petit d'une valeur de couture.	93,3 x 52,1	À FIXER	cm		étiquette du patron	 	King	ratio	20
OREILLER	mesure	Valeur de couture déduite des deux patrons	DÉDUITE, pas relevée : coupe moins fini donne 1,9 cm sur la longueur et 1,3 sur la largeur, et les deux tailles s'accordent. Ne vaut que pour l'oreiller — la valeur de couture d'un parka n'a rien à voir.	Reprendre cette valeur sur un autre produit ferait couper faux.	1,9 / 1,3	À FIXER	cm		déduit des étiquettes de patron	 		lot	
CHANDAIL	mesure	Gradation — tour de poitrine entre deux tailles	Base M. La table du suivi Tunisie donne un pas constant de 4 cm, de XS a XXL. Se vérifie avec deux tailles consécutives en main, sans connaître la cote absolue.	Une gradation irrégulière se découvre chez le client, une taille à la fois.	4	À FIXER	cm	une fois par saison, sur deux tailles consécutives	suivi Tunisie	 		lot	
CHANDAIL	mesure	Gradation — tour de hanche entre deux tailles	Base M. Pas constant de 4 cm selon la table du suivi Tunisie.	Une gradation irrégulière se découvre chez le client, une taille à la fois.	4	À FIXER	cm	une fois par saison, sur deux tailles consécutives	suivi Tunisie	 		lot	
CHANDAIL	mesure	Gradation — longueur du corps entre deux tailles	Base M. Pas constant de 2 cm selon la table du suivi Tunisie.	Une gradation irrégulière se découvre chez le client, une taille à la fois.	2	À FIXER	cm	une fois par saison, sur deux tailles consécutives	suivi Tunisie	 		lot	
CHANDAIL	mesure	Gradation — longueur de manche entre deux tailles	Base M. Pas constant de 2 cm selon la table du suivi Tunisie.	Une manche qui ne suit pas la gradation se voit au premier essayage.	2	À FIXER	cm	une fois par saison, sur deux tailles consécutives	suivi Tunisie	 		lot	
