flow_id,flow_name,message_id,message_name,subject_line,template_id
"RAPUF9","Post-Purchase Followup - Order Count Split","RNGFyN","Loyal Customer: Cross-Sell + Discount","You might also like...","TB8z5h"
"RAPUF9","Post-Purchase Followup - Order Count Split","RkW9CX","Repeat Customer: Thank You","Good choice!","T9n39s"
"RAPUF9","Post-Purchase Followup - Order Count Split","VDsdBW","New Customer: 2nd Purchase Incentive","A token of our appreciation","XrS78r"
"RAPUF9","Post-Purchase Followup - Order Count Split","VubGVa","Repeat Customer: Review Request","So, what'd you think?","XgBArD"
"RAPUF9","Post-Purchase Followup - Order Count Split","WY7zcA","New Customer: Thank You","Welcome to the {{ organization.name|title }} Family!","QXNS4w"
"RjWTh8","Upsell +AOV flow","SzrLbw","AOV Courriel Upsell FR","Merci énormément pour votre commande","S8pehv"
"RjWTh8","Upsell +AOV flow","VPLvNU","AOV Upsell EN","Thank you so much for your order","UEnqMv"
"SXsssm","BFCM Prise 2","SwhayS","Email ROC+USA ENGLISH","Here is your Lasclay gift card!","VmtCti"
"SXsssm","BFCM Prise 2","W78VzQ","Email QC FRENCH","Voici ta carte cadeau Lasclay!","SbL9bi"
"UcdK5a","Post-Purchase Followup - Order Count Split","TjiVqm","Repeat Customer: Review Request","So, what'd you think?","V7JNUQ"
"UcdK5a","Post-Purchase Followup - Order Count Split","Vcn5ge","Repeat Customer: Thank You","Good choice!","WYMWLH"
"UcdK5a","Post-Purchase Followup - Order Count Split","WJUbJx","Loyal Customer: Cross-Sell + Discount","You might also like...","Yxk5f2"
"UcdK5a","Post-Purchase Followup - Order Count Split","WePvSn","SEED BOMB US UPDATE","Update on your seed bombs order","TZyuhQ"
"UcdK5a","Post-Purchase Followup - Order Count Split","XM5w68","english follow up seed bombs","Welcome to the {{ organization.name|title }} Family!","RLLNW4"
"UcdK5a","Post-Purchase Followup - Order Count Split","XqekLe","New Customer: Thank You Test #1 April 08, 2026 Variation B","Welcome to the {{ organization.name|title }} Family!","RpVDCa"
"VHr9QT","Essential Flow Recommendation_","WNcJpm","Abandoned Checkout - Email 2","Finish Your Eco-friendly Order","YACBTQ"
"VHr9QT","Essential Flow Recommendation_","XvR3mn","Abandoned Checkout - Email 1","Complete Your Eco Order","Rvykdi"
"VKsuLF","Essential Flow Recommendation_","XxSnha","Order Confirmation - Email","Order Confirmed!","RxzF96"
"VrfryX","USA Upsell +AOV flow","XdFj5s","AOV Courriel Upsell US","Thank you so much for your order","RdnBVn"
"VzMF9W","Abandoned Cart Reminder (FR+EN)","QUAnP5","FR Abandoned Cart #1  > no seeds","Panier d'achat toujours ouvert. Des questions? 😊","TVTbHP"
"VzMF9W","Abandoned Cart Reminder (FR+EN)","RvKybZ","Panier abandonné FR #2 freeship","L'expédition gratuite te tente? 😊","TibrGu"
"VzMF9W","Abandoned Cart Reminder (FR+EN)","SykZF8","EN Abandoned Cart #1","Your order was not completed. Any questions? 😊","SPrwKv"
"VzMF9W","Abandoned Cart Reminder (FR+EN)","TgwFwm","Panier abandonné FR #2","Rappel: Votre commande Lasclay vous attend 😊","V4Wz2Q"
"VzMF9W","Abandoned Cart Reminder (FR+EN)","VHun4H","Abandoned Cart #2 freeship","Could free shipping tempt you? 😊","XvUfzc"
"VzMF9W","Abandoned Cart Reminder (FR+EN)","X5mdxZ","Abandoned Cart #2","Reminder: your Lasclay order awaits you 😊","R54wpV"
"WSEaSf","Welcome Series - JdC","QSmtJb","Welcome Email #1: Existing Customer","Merci de ton soutien","SEMmeE"
"WSEaSf","Welcome Series - JdC","VrtiMa","Copy of Welcome Email #1: Existing Customer","Merci de ton soutien","XdTchD"
"Wnxt4a","Welcome Series (FR+EN)","S55uv6","Welcome 1 English","Thanks for your support","TRvmZz"
"Wnxt4a","Welcome Series (FR+EN)","TVwXAw","Lasclay language selection","Thank you for your support","U9CuTG"
"Wnxt4a","Welcome Series (FR+EN)","YaXkyD","Welcome 1 French","Merci de ton soutien","X4yg2R"
