code	produit_production	handle_shopify	confiance	note	alias_plan	famille	fabrication
CACHE-COU	Cache-cou adulte	neckwarmer	sûr	Deux autres fiches Shopify sont des écoulements : cache-cou-dasclepiade-imparfait (ancienne version non ajustable) et cache-cou-dasclepiade-imparfait-1. Elles ne se produisent plus.	Cache-cou d'asclépiade	hiver	tunisie
BANDEAU	Bandeau	bandeau-copy	à confirmer	Deux fiches Shopify existent : headband (Bandeau) et bandeau-copy (torsadé extra-doux). Le COGS parle de deux modèles, sport et torsadé, même patron. Lequel des deux handles correspond à quoi ?	Bandeau d'asclépiade	hiver	tunisie
TUQUE-SPORT	Tuque sport	tuque-sport-asclepiade	sûr		Tuque sport en asclépiade	hiver	tunisie
TUQUE-VILLE	Tuque de ville		non produit	Tuque beanie : le tricot est fait en Chine, pas à l'atelier. C'est la seule tuque sans fiche COGS et sans coût BMB au plan, ce qui le confirme. Son bandeau amovible, lui, est fait en Tunisie — voir BANDEAU-TUQUE.	Tuque de ville isolée	hiver	chine
FOULARD	Foulard	scarf	sûr		Foulard	hiver	tunisie
MIT-PLEIN-AIR	Mitaines plein air	mittens	sûr	Cuir synthétique pour la paume, tailles XS à XL chez Grada Mode.	Mitaines plein air	hiver	tunisie
MIT-POLAR	Mitaines polar	mitaines-ville-asclepiade	à confirmer	Le COGS dit « Mitaines polar », Shopify dit « urbaines ». Le suivi Tunisie parle de « Mitaines urbaines POLAR/LAINE/CUIR » — même patron pour les trois matières. Un seul produit de production pour trois fiches Shopify ?	Mitaines polar	hiver	tunisie
MIT-LAINE	Mitaines laine	mitaines-hiver-laine-asclepiade-naturelles	à confirmer	Même patron que MIT-POLAR selon le suivi Tunisie.	Mitaines de ville laine (nouveau)	nouveau	tunisie
MIT-CUIR	Mitaines cuir	mitaines-hiver-asclepiade-laine-cuir-naturel	à confirmer	Même patron que MIT-POLAR selon le suivi Tunisie.	Mitaines de ville cuir (nouveau)	nouveau	tunisie
MIT-BEBE	Mitaines bébé 0-2	mitaines-bebe-asclepiade	sûr	Sans pouce. Recherche de shell en cours.	Mitaines pour bébé	hiver	tunisie
SEMELLE-678	Semelles 6-7-8F	thermal-insoles	partiel	Une seule fiche Shopify couvre toutes les pointures ; la production distingue 6-7-8 et 9+ (coûts et temps différents).	Semelles intérieures isolantes	hiver	tunisie
COUSSIN	Coussin d'assise	coussin-assise-thermal-pliable	sûr		Coussin d'assise thermal pliable	autre	tunisie
BESACE	Besace	besace	sûr	La fiche COGS nommée « Besace » s'ouvre en fait sur un onglet « Sac lunch ». Vérifier de quel produit viennent les chiffres.	Besace isotherme en asclépiade	isotherme	tunisie
SAC-LUNCH	Sac à lunch	lunchbag	à confirmer	Voir la note de BESACE : les deux produits partagent peut-être une fiche COGS.	Sac à lunch	isotherme	tunisie
TOTE	Tote bag	insulated-tote-bag	sûr		Sac isotherme tote bag	isotherme	tunisie
GLACIERE	Glacière	milkweed-cooler-backpack-30l	sûr		Sac à dos glacière 30L	isotherme	tunisie
MANTEAU-HIVER	Manteau hivernal	manteau-asclepiade	à confirmer	Deux fiches Shopify : manteau-asclepiade et manteau-hiver-asclepiade-quebecoise. Laquelle est la production 26-27 ?	Manteau hivernal (nouveau)	nouveau	tunisie
VESTE	Veste sans manche	veste-sans-manche-asclepiade	non couvert	Aucune fiche COGS distincte. Dérivée du manteau ?	Veste sans manche	hiver	tunisie
GANTS-MAGIQUES	Gants magiques	gants-magiques-asclepiade	sûr	4 à 5 g d'asclépiade par gant, balance fournie.	Gant magique	hiver	tunisie
SAC-COUCHAGE-0	Sac de couchage 0 °C	sac-couchage-isole-fibre-asclepiade-canadien	partiel	Une seule fiche Shopify ; la production distingue 0 °C et −18 °C.		nouveau	tunisie
SAC-COUCHAGE-18	Sac de couchage −18 °C	sac-couchage-isole-fibre-asclepiade-canadien	partiel	Voir ci-dessus.	Sleeping bag (nouveau)	nouveau	tunisie
ETUI-TEL	Étui de téléphone	etui-telephone-asclepiade	sûr	Pas de fiche COGS. 1 étui = 1 ganse.	Étui appareils électroniques	isotherme	tunisie
CHANDAIL	Chandail polar	chandail-polaire-asclepiade-polar	sûr	Pas de fiche COGS. Sizing des autres tailles à faire.	Combine haut - chandail polaire (nouveau)	nouveau	tunisie
MANCHON	Manchon isotherme	manchon-isotherme-canettes-bouteilles	à confirmer	Deux formats Shopify : régulier/large et « canettes minces ». Un ou deux produits de production ?	Manchon isotherme boissons	isotherme	tunisie
SAC-VIN	Sac à bouteille de vin	sac-bouteille-vin	non couvert	Pas de fiche COGS.	Sac bouteille de vin	isotherme	tunisie
COUSSIN-ANIMAL	Coussin pour animaux	coussin-ecoresponsable-animaux	non couvert	Pas de fiche COGS.	Coussin pour animaux (nouveau)	nouveau	tunisie
OREILLER	Oreiller	oreiller-asclepiade-hypoallergene	non couvert	Pas de fiche COGS. C'est le seul corpus de patrons HPGL auto-vérifiable (4 u/mm confirmé).	Oreillers	nouveau	tunisie
PANTOUFLES	Pantoufles	pantoufles-dasclepiade	non couvert	Écoulement seulement (fiche IMPARFAIT).		hiver	tunisie
