campaign_id,name,send_time,message_id,subject,preview_text,from_email,template_id
"01KB3DC1H6C3RJS69PS2V1VWH9","Suivi commandes + excuses","2025-11-28T21:00:58.526464+00:00","01KB3DC1HSJNPR96C3XQ036GE9","Suivi de commande - forte demande","On fait le plus vite possible et on se revire de bord!","hey@lasclay.com","YzCmcj"
"01KB0BK2HEWQN05N95KG0ZPS3M","follow-up mercredi Concours automne 2025 + collab et matieres","2025-11-26T15:30:00+00:00","01KB0BK2KDZRS7NRZ958CE7TY3","Découvrez nos sections Collaborations et Matières 🍂","De gros rabais, de beaux cadeaux 🦋","hey@lasclay.com","V7U2gG"
"01KB0BNYPN4GG0T6MC70AQPAC7","Follow-up fall contest + warmup EN","2025-11-26T15:30:00+00:00","01KB0BNYRP9BV1M4NW0XJYVXTM","Try Milkweed Products: you could win the trip of a lifetime 🦋","Lasclay's annual Fall contest","hey@lasclay.com","UKHYKw"
"01KAMMHCGH44M4CS69MHAQ8MJQ","Concours automne 2025 + collab et matieres","2025-11-22T12:00:00+00:00","01KAMMHCK3RM038CZ33HX092PA","Découvrez nos sections Collaborations et Matières 🍂","De gros rabais, de beaux cadeaux 🦋","hey@lasclay.com","TGakcC"
"01KAMNBT6TT2TRXNPJK3JY03GE","Clone fall contest + warmup EN","2025-11-22T13:00:00+00:00","01KAMNBT8Z51V1BTP6M1K6AZMZ","Try Milkweed Products: you could win the trip of a lifetime 🦋","Lasclay's annual Fall contest","hey@lasclay.com","U2yRyd"
"01KACBFSZ034G8NG4RF4FT3217","Clone Follow-up fall contest + warmup EN","2025-11-19T12:45:00+00:00","01KACBFT0RFM5ZS49AN12SH63P","Try Milkweed Products: you could win the trip of a lifetime 🦋","Lasclay's annual Fall contest","hey@lasclay.com","W6rpSx"
"01KACBE0JZF4SACXNE33NQZYVS","Clone warmup EN traduit FR","2025-11-19T12:00:00+00:00","01KACBE0N1MKCFVFS81DDABXH1","Essayez nos produits d’asclépiade: vous pourriez gagner le voyage d’une vie 🦋","Concours automnal: Nouveaux rabais de la semaine 🍁","hey@lasclay.com","R2ugDW"
"01KAC1E4SAS262X55W9G1FDV2B","Manteaux suivi EN","2025-11-18T17:56:14.989720+00:00","01KAC1E4V47K3Y3T6B5WGMN7H9","Milkweed jacket preorder follow-up","Slighlty late - need a decision!","hey@lasclay.com","WNjHVT"
"01KABYEXQ5P72YFXBB8EKQHPBD","Campaign Nov 18, 2025, 11:58 AM","2025-11-18T17:50:07.772855+00:00","01KABYEXQQ5HNCB787A4YBNN6N","Suivi de ta précommande de manteau d'asclépiade","Léger retard - besoin d'une décision!","hey@lasclay.com","S8c8Dc"
"01KABWRGVVSBKMV3K00EZN7Q3P","EN Retard mitaines urbaines","2025-11-18T16:49:17.520108+00:00","01KABWRGY6C3CZGPYS6DNFXJAK","Milkweed urban mittens order follow-up","Slight delay","hey@lasclay.com","RN8BuA"
